hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,sl,position_type,rsi_high,tp,allowed_hours,length_rsi,rsi_low
9,0.05201679307395616,1.0703723327889405,0.4967479674796748,1.1993778296723525,2224992.701256164,1230,0.3045395724295712,short,79.0,0.33348293910783866,[9],6.0,28.0
10,0.16626380347226583,1.060800406808283,0.5134764732754683,5.72458608329856,3836286.0469882125,2189,0.3434151649979136,short,83.0,0.34016505008691555,[10],9.0,41.0
