hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,rsi_low,rsi_high,allowed_hours,position_type,tp,sl,length_rsi
10,2.1265985873114155,1.461423025794332,0.22568093385214008,0.10863917547173825,29573.340000000797,1028,32.0,80.0,[10],short,1441.1000000000001,203.0,10.0
11,2.4955662089888286,1.4899451890567021,0.4016319129646419,0.0791335697379368,45232.219999999914,1103,25.0,84.0,[11],both,1253.0,415.1,6.0
12,1.8136643006296527,1.337614708014931,0.441566645609602,0.1855945424796368,41701.48000000062,1583,31.0,64.0,[12],long,1584.8000000000002,427.20000000000005,7.0
13,1.7339686691884881,1.3268474972970699,0.5513513513513514,0.1772584034610102,40061.920000000275,1480,36.0,63.0,[13],long,1043.6,1719.9,8.0
14,0.9383625335446829,1.2543079902500918,0.22625698324022347,0.11531540504648048,15232.53999999963,1432,35.0,74.0,[14],both,1718.7,140.5,10.0
15,1.1038446377311026,1.2016286940561078,0.4924901185770751,0.13834410306998385,16974.159999999843,1265,25.0,67.0,[15],both,1870.3000000000002,716.8000000000001,10.0
16,2.1960547528005123,1.4498724974181956,0.4642184557438795,0.05720553977628533,21110.05999999991,1062,34.0,80.0,[16],both,882.0,265.3,10.0
17,2.3007831069015876,1.4276136550091925,0.41364755539922615,0.05666438810842963,29501.219999998975,2843,26.0,60.0,[17],both,1456.9,121.80000000000001,7.0
