hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,rsi_high,sl,length_rsi,rsi_low,allowed_hours,position_type,tp
9,1.0390988296696915,1.136681462499428,0.6318136769078295,0.2789166517646676,29869.0,2018,56.0,935.0,10.0,40.0,[9],short,580.0
10,-0.38618477602216106,0.8685182897960024,0.5572390572390572,0.9794522788993227,-25549.0,1782,80.0,680.0,9.0,38.0,[10],short,495.0
11,-0.04426389739967782,0.9022975038038689,0.4506329113924051,1.0040133583313804,-29602.0,2370,57.0,1080.0,9.0,39.0,[11],long,1680.0
12,-0.2518278063752014,0.9671903787451306,0.5935969868173258,0.3949324742906703,-4826.0,2655,74.0,390.0,8.0,45.0,[12],short,270.0
13,-0.05758142912176682,0.8741447670080107,0.5346809353943718,1.0414689911403259,-27997.0,2523,85.0,800.0,9.0,45.0,[13],short,550.0
14,-0.004882418862248703,0.9283106565461173,0.48932130991931655,1.2088471685379472,-26313.0,4214,68.0,835.0,6.0,43.0,[14],both,865.0
15,0.2174201562644754,1.038725584710756,0.45025792188651437,0.30450502988773875,6628.0,2714,56.0,400.0,8.0,45.0,[15],short,1815.0
16,-0.09654901333733362,0.7971917354796,0.41492537313432837,1.010928075750697,-29104.0,2680,65.0,370.0,7.0,31.0,[16],both,710.0
17,1.6662802049826033,1.1954879346745066,0.28846866889136075,0.05146240921285088,11204.0,2697,57.0,80.0,7.0,45.0,[17],short,790.0
