hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,allowed_hours,sl,rsi_low,length_rsi,rsi_high,tp,position_type
3,1.0670600455457322,1.217475257531491,0.10019185674696227,0.5143900052665771,4923695.478337246,4691,[3],0.03015520870302176,33.0,7.0,56.0,0.32898543388438467,both
4,0.43071437161021786,1.1154384990926454,0.5565543071161049,14.359574827070256,4582824.424789288,1335,[4],0.38724997496062236,36.0,10.0,72.0,0.339907251406392,short
5,0.6367242490379093,1.0901877294399065,0.41990950226244345,4.051517308332659,3404457.4165612166,2210,[5],0.17357645607139965,40.0,7.0,85.0,0.2679833266047088,both
6,1.44729870768862,1.130650217587287,0.8883116883116883,0.8918368307572445,1275703.75219582,1540,[6],0.36427836204030417,39.0,9.0,56.0,0.04919205097853102,short
7,0.9950982495184388,1.0881945028470286,0.7648195876288659,5.751864594887718,1782397.7012674436,1552,[7],0.32643192756699696,38.0,9.0,63.0,0.11203682290053268,short
8,1.9860065243732141,1.1368962372227989,0.8901373283395755,0.6347353406828325,1057029.0044545666,1602,[8],0.27472250179193936,35.0,7.0,58.0,0.0387484852569768,short
9,2.7076932032394594,1.148186867717299,0.31537708129285014,0.9272161059203934,2409330.9263493204,1021,[9],0.139022415888059,26.0,6.0,56.0,0.3457649137715429,short
10,1.4070367248925126,1.1820915137041186,0.26083761939750183,2.813346338191931,3336906.1457023188,1361,[10],0.10544048768219741,32.0,7.0,71.0,0.34119922608031505,short
11,2.739888442213164,1.1293770460682815,0.5289541918755402,0.40004068906348206,568780.7007903304,1157,[11],0.047313955160260976,32.0,7.0,66.0,0.043998794156305435,short
12,3.9225442304570515,1.1297778906508402,0.6309055118110236,0.7146487819839947,2920361.736991492,1016,[12],0.34990528437595503,36.0,10.0,74.0,0.23013357033814863,short
13,2.7238980113960936,1.1661152109446553,0.6315359477124183,0.5921478561221146,4595580.269374707,1224,[13],0.3644329882803058,34.0,8.0,59.0,0.2524903449127539,short
14,2.048014131113281,1.1017503355444993,0.5871743486973948,0.8090553838875603,3905588.4441969055,1497,[14],0.3570007910080568,37.0,9.0,63.0,0.2689069388274821,short
15,0.7226218399006537,1.0839075497700301,0.14201680672268907,0.825272994995765,792870.9324932414,1190,[15],0.05135098801181527,28.0,7.0,57.0,0.34725357725643724,short
16,0.15188940193465028,1.0680375444415116,0.19896640826873385,1.4140681527025598,452116.9852472779,1548,[16],0.030241460415054853,31.0,8.0,66.0,0.13149013433831158,long
17,0.259366719872902,1.1209514679046648,0.34774436090225563,2.3432946305041957,3815204.1083597853,1596,[17],0.17354079365521408,34.0,7.0,85.0,0.35975957594620694,short
18,0.11891830918867347,1.0166468282013283,0.5706501997820559,4.6968776540537736,1204293.0068186966,2753,[18],0.352205824054033,45.0,7.0,61.0,0.27367601445353945,short
19,3.6287034791759094,1.299694390571189,0.8669438669438669,0.5984643917198614,2966197.148832258,1924,[19],0.22904662727760092,33.0,7.0,63.0,0.04450921716387182,long
20,4.047834533468922,1.3371900038488806,0.8755980861244019,0.3333254221875613,2868304.0144220074,2299,[20],0.17006983669037318,38.0,8.0,59.0,0.03290665275466496,long
21,7.577750099815039,1.4835016448037457,0.7630331753554502,0.5816574047390937,4708730.312175029,1055,[21],0.22589845230159036,42.0,8.0,69.0,0.10088023451761022,long
