hour,total_profit,trades,win_rate
6,0.0,0,0.0
9,0.0,0,0.0
10,30555.4,2004,0.3273453093812375
11,37682.99999999997,2905,0.3287435456110155
12,44353.000000000015,1940,0.47525773195876286
13,39032.600000000006,1831,0.5303113052976516
14,20981.40000000002,6904,0.23059096176129779
15,73581.0,4120,0.49029126213592233
16,28209.8,2533,0.5124358468219502
17,5891.600000000005,2136,0.22799625468164794
18,0.0,0,0.0
19,0.0,0,0.0
