hour,sortino_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,rsi_high,sl,length_rsi,allowed_hours,position_type,rsi_low,tp
10,5.177745546046515,1.2356211665312051,0.33507853403141363,0.16390221240049238,30555.399999998983,1146,74.0,9.5,10.0,[10],both,29.0,29.1
11,4.212412987054405,1.2095350893289065,0.32396088019559904,0.19731036208690575,37682.99999999734,1636,66.0,9.100000000000001,6.0,[11],long,37.0,26.900000000000002
12,6.867635702854679,1.3467971713898776,0.46441605839416056,0.15576517436475165,44352.99999999802,1096,66.0,13.100000000000001,8.0,[12],long,36.0,23.700000000000003
13,3.873804174917684,1.2768917548078622,0.5145631067961165,0.17024153238026268,39032.59999999803,1133,71.0,23.1,8.0,[13],both,27.0,31.8
14,2.8354675094042285,1.0840621842369482,0.23879518072289158,0.16013149826258166,20981.3999999956,4150,57.0,4.5,7.0,[14],both,34.0,26.400000000000002
15,6.449083265426249,1.3622716754468018,0.4921875,0.11518476808412323,73580.99999999914,2432,56.0,12.0,10.0,[15],long,34.0,31.900000000000002
16,2.7499268000717922,1.260250011531897,0.5305732484076433,0.13202453510260617,28209.799999999654,1570,62.0,14.600000000000001,10.0,[16],long,34.0,27.5
17,3.862404699787404,1.162313761791413,0.22627182991647685,0.057068227593152214,5891.600000000079,1317,68.0,2.0,9.0,[17],both,26.0,18.400000000000002
